material_number|material_name|material_group
1015841|FL,SUCLINE,RFRGNT,STAS-4817SV,2-1/8ODF|9XA
MP14872|CABLE,TRANSMITTER|NP139
2014133-MV|36-APH-4-100-II-250|50CB
2013128-MV|EM-30-21.1X21.1|60BA
476312|COMP,ZP122KCE-TFD-250,460V|9XA
2013091-MV|VCD-43-60.875x59.875|60CA
2013122-MV|VCD-43-8.875x85.875|60CA
2013261-MV|VCD-33-22.875x31.875|60CA
2013262-MV|15-APH-4-95-I-15|50CB
2013263-MV|VCD-33-58.875x7.875|60CA
2013264-MV|VCD-33-57.75x11.75|60CA
2013186-MV|VCD-33-22.875x36.875|60CA
2013187-MV|20-APH-4-100-I-75|50CB
2013188-MV|VCD-33-31.75x21.75|60CA
MP5677|TRACK,TAPESWITCH|NP139
335707|WHL,STL,315X90MM,R63D,HUB BF16,RAL6002|9XA
2005875-MV|VCD-23-10.625x37.875|60CA
2005882-MV|VCD-23-14.688x45.875|60CA
335712|WHL,STL,560X160MM,R63D,HUB SM20,RAL6002|9XA
1016288|VFD,CNFG,Z1C1B124C,480V,100HP,124A|9XA
2012041-MV|VCD-43-100.438x65.875|60CA
2013284-MV|VCD-23-13.75x84.75|60CA
1015949|BRKT,HNGR,SPLIT RING,2.5,1/2-13 FNT,ZP|9XA
386175|CNTRL,CONN,T-DERIVATOR,CAREL,TCONN6J000|9XA
1015880|FL,RACK,HEPA,GSK,12.62X24.62,GALV|9XA
1015884|FL,RACK,HEPA,GEL,24.62X24.62,GALV|9XA
2016419-MV|VCD-23-31.875X17.875|60CA
1000405|EXT, 900MM HX UPRIGHT|9XA
1001045|BLOWER,ER35C|9XA
1006765|UNION,1.25IN BRASS FPT X FPT,2.5IN,IBR12|9XA
1010154|SHFT,HTWHL,TA-78-90,RS,L230-40-M16|9XA
MP18840|SPRING,PRESSURE|NP139
2010977-MV|XQEI-9-300-50-G|50GA
2011046-MV|22-APM-4-100-II-150|50BG
T2219|DIE,THICK TURRET 0.5IN,.429,0.008TC|NP139
1015964|TUBE,COIL,0.25OD,ULVW-1,WHT|9XA
1015968|CLAMP,HANGER,0.75-1 PIPE,PLAS,THREADED|9XA
1015980|ADPTR,SOCKXMNPT,0.75,UL94 CPVC,SCH80|9XA
1032824|SUBASSM, FRAMING DOOR3|9XA
1032827|SUBASSM, FRAMING DOOR6|9XA
1032826|SUBASSM, FRAMING DOOR5|9XA
1032839|SUBASSM, FRAMING DOOR18|9XA
1006784|NIP,1IN X CLOSE BRASS,3IN,BRNGCL|9XA
1009478|WIRE,SS,308LSI,0.035DIA,33#SPOOL|NP069
2013255-MV|VCD-23-26.75x40.75|60CA
2013256-MV|VCD-23-13.75x72.75|60CA
2013265-MV|15-APH-4-95-I-15|50CB
MP4716|LAMP,MULTILED,YELLOW 6W2,WS 28V DC|NP139
MP16747|PISTON,ATC-TCS|NP139
2013106-MV|VCD-23-26.958x26.958|60CA
MP17454|INSERT,JAW COUPLING,HYTREL,L095 CLASS|NP139
2013211-MV|VCD-43-13.75x82.75|60CA
1015866|FL,HEPA,GSK,99.999,24X24,GALV|9XA
1015881|FL,RACK,HEPA,GSK,24.62X24.62,304 SST|9XA
335692|CONE,INLT,400MM,GALV,1TAP|9XA
335695|CONE,INLT,560MM,GALV,1TAP|9XA
335704|CONE,INLT,560MM,GALV,4TAP|9XA
354412|BSHG,1610 X 1.125,TAPERLOCK|9XA
2005791-MV|24-APM-4-50-I-75|50BG
2005766-MV|VCD-43-29.875x50.875|60CA
2005837-MV|24-APM-4-100-II-150|50BG
1008927|BIT,DRILL 3/8IN HVY DTY|9XA
2016388-MV|VCD-43-18.875x46.875|60CB
2013650-MV|HW58S01Q13-24X47.25-LHN|41AA
MP17450|SENSOR,PROX,INDUCTIVE,SHEET DETECTION|NP139
GRIR001|GRIR001|9XA
GRIR006|GRIR006|9XA
GRIR023|GRIR023|9XA
2013631-MV|ICD-44-40.25x12.25|60BG
1016286|VFD,CNFG,Z1C1B077C,480V,60HP,77A|9XA
2014734-MV|VCD-43-22.875x55.875|60CA
1015933|SW,HP,SPDT,WILSPEC,600H/450R|9XA
2010891-MV|VCD-33-45.875x10.875|60CA
2013052-MV|QEI-12-300-50-G|50GA
2013124-MV|EM-30-21.1X21.1|60BA
2013125-MV|VCD-43-14.875x84.875|60CA
140963|SHT,14GA,48X144,HRS,A786,FLOOR PLATE|9XA
2000645-MV|VCD-33-68.375x38.875|60CA
SMD-401EF|DMPR,SMOKE,AAF,EXTR FRM|60CB
1009097|PUMP,ARMSTRONG,E-24|9XA
1009069|TRNSMTR,DIFPRES,DWYER,MSX-W10-IN-LCD|9XA
1015955|VLV,COMP KIT,1.375,BRASS,MUELLER,A-17533|9XA
2016061-MV|VCD-23-19.375x65.875|60CA
1015942|HTR,GAS VLV WIRG EXT,2FT,HEATCO,HMWA42|9XA
113228|CREATED IN ERROR - CAN BE REUSED|9XA
1000578|CPLG,CXC,1.375OD,CPR,W/O STOP|9XA
MP11508|BUTTON,OPTO-TOUCH|NP139
1016002|TEE,RDCR,CXCXC,1.466X1.466X1.208OD,CPR|9XA
2005788-MV|VCD-43-13.438x39.875|60CA
1016020|SNSR,TEMP,FLOW,OMEGA,1.5IN,W/ GALV ELB|9XA
2005789-MV|22-APM-4-100-I-75|50BG
1002055|COMP,TLJ082-7A (121G0353),575V|9XA
1002024|COMP,HRH056U7LP6 (120U1431),575V|9XA
1002145|VLV,HGR,PE-VLV,1718|9XA
1006389|TUBING,.625IN,POLY,CNVLTD,TYTO-CTP580STD|9XA
1006436|NUT,HEX,6-32,ZP,GR2|9XA
1003156|PIPE,1.5,SS,304,SCH40|9XA
335702|CONE,INLT,450MM,GALV,4TAP|9XA
1015889|FL,RACK,HEPA,GEL,12.62X24.62,304 SST|9XA
1015910|SNSR,TEMP,DUCT,AVG,BA/10K-2-A-12-BB2|9XA
1016232|SNSR,TEMP&HMDTY,W/BOX,ACI A/RH3-CP-D|9XA
1016233|SNSR,TEMP,NEMA1,MAMAC TE-705-B12C1|9XA
1016038|CNDNSRFN,ZA,FN050,ART#154403,208/230V|9XA
354415|BSHG,2012 X 1.375,TAPERLOCK|9XA
2016060-MV|AMD-23-93.75x18.75|60CA
2014735-MV|VCD-43-81.875x55.875|60CA
2013227-MV|VCD-23-41.875x46.875|60CA
2013233-MV|VCD-43-93.875x40.875|60CA
2013235-MV|VCD-43-19.875x41.875|60CA
2013236-MV|VCD-43-76x41.875|60CA
335710|WHL,STL,450X125MM,R63D,HUB SM20,RAL6002|9XA
1032851|SUBASSM, FRAMING DOOR30|9XA
1032855|SUBASSM, FRAMING DOOR34|9XA
1015954|SNSR,CNTRL,PRES,CBL,EMERSON,PT4-M60|9XA
1016264|VFD,CNFG,Z1C1D024C,208V,7.5HP,24.2A|9XA
G-VCD23|VCD23 DAMPER|60CA
2014157-MV|VCD-43-24.875x56|60CA
1036575|RECEIVER,STANDARD,3685MP|9XA
MP18200|MEASURING SYSTEM|NP139
1016277|VFD,CNFG,Z1C1B007C,480V,5HP,7.6A|9XA
1001117|VFD 2|9XA
1002352|MTR 30 AZT BA L182T ECP3661T-5|9XA
1003205|LUMBER,1X4X144,ECON/4/5MIN,SPF/SYP,HT|9XA
2010893-MV|VCD-33-16.875x36.875|60CA
2014767-MV|EM-30-40X40|60BA
2013251-MV|ESD-603|61BA
1009601|NIP,MNPT,1.25X2,BLK STL,SCH40|9XA
1009584|SHEAVE,AK51 X 0.875,TB WOODS|9XA
2010478-MV|EM-30-29.716X29.716|60BA
2010481-MV|VCD-43-100.5x48.875|60CA
2010490-MV|VCD-43-31.875x21.875|60CA
2010504-MV|HW58S02F12-39X38-RHN|41AA
MP3628|DIE SAFETY CLICKS,BARREL,L IS 35MM|NP139
2013182-MV|VCD-43-47.811x50.5|60CA
MP12321|RETAINER,SPRING,PLUNGER|NP139
MP12351|BEARING,BLOCK,NO. 25 L|NP139
MP12378|ASM,HOSE,US|NP139
1016228|UNION,SOCK,1.5,CPVC,SCH80,E84|9XA
2012105-MV|VCD-43-40.875x50.875|60CA
2011029-MV|VCD-43-20x27.5|60CA
326928|MTR,56, BA 35Z946L509G1|9XA
320596|MTR,145T.BA EM3555T|9XA
2001799-MV|VCD-23-29.688x29.688|60CA
2001834-MV|LV,1.50,NAR PROF,J BL|61AA
2001836-MV|VCD-33-17.875x49.875|60CA
1016262|VFD,CNFG,Z1C1D010C,208V,3HP,10.6A|9XA
1001872|COMP,SH161A3ALB (120H0021),208/230V|9XA
1003062|TRANSF,240/480,1.5KW,9T58K2853|9XA
1006493|TEE,CXCXC,1.25IN,CPR|9XA
381608|ACT,ELEC,BELIMO,AF24-MFT US|9XA
1006478|TUBE,COIL,0.25OD,BLK POLYTH|9XA
1006781|NIP,1.25IN X CLOSE BRASS,2.5IN,BRNHCL|9XA
384023|VFD,CIMR-VU2A0040FAA,208/230V,10HP,40A|9XA
2015798-MV|VCD-43-80.75x11.75|60CB
2014788-MV|24-APM-4-100-II-150|50BG
1015907|HTR,ADPTR,26IN EXT,HEATCO,HMFA-29|9XA
1001857|COMP,HRH040U3LP6 (120U1276),208/230V|9XA
1010809|CONN,1.5,90DEG,LQDTGHT,NON-INS,MI,TB5256|9XA
335742|WHL,AL,280X80MM,R63D2,0.875,BF12|9XA
335750|WHL,AL,400X112MM,R63D2,1.375,SM12|9XA
335755|WHL,AL,500X140MM,R63D2,1.375,SM20|9XA
335758|WHL,AL,560X160MM,R63D2,1.375,SM20|9XA
335768|CONE,INLT,450MM,ALUM,1TAP|9XA
1016338|TORCH,TIP,ALUMINUM,0.045IN DIA,QUIK|NP068
1016263|VFD,CNFG,Z1C1D016C,208V,5HP,16.7A|9XA
1035602|VLV,HGRH,1.625,ACTUATOR,HUB,ASSY|9XA
MP4616|VALVE,CHECK,HYDRAULIC SYSTEM,LIFT TABLES|NP139
1015911|TORCH,TIP,0.052IN DIA,THREADED,CENTERFIR|NP068
2006335-MV|AMD-42-39.75x18.75|60CA
1016095|BLWR,ZA,GR35C,1.9KW,460V,EC,175507|9XA
326914|MTR,145T,BA 35Z063L248G|9XA
326917|MTR,213T.BA 37J838S398G1|9XA
326920|MTR,256T.BA 09J359T014G2|9XA
2013960-MV|VCD-43-59.875x63.875|60CA
1016201|PIPE 1.5 X 10FT CPVC SCH80 E84|9XA
1015459|COMP,ZPY360KCE-TFE-272,575V|9XA
1015465|COMP,ZPY462KCE-TEE-273,575V|9XA
1015886|FL,RACK,HEPA,GEL,12.62X24.62,GALV|9XA
1015978|ADPTR,SOCKXFNPT,0.75,UL94 CPVC,SCH80|9XA
335714|WHL,STL,710X200MM,R63D,HUB SM25,RAL6002|9XA
2001199-MV|VCD-43-40x15|60CA
2013143-MV|VCD-42-41.875x19.875|60CA
2013144-MV|VCD-42-41.875x19.875|60CA
1015988|WIRE,THHN,12GA,90DEG,600V,ORANGE|9XA
MP20162|PIN,LIFTING|NP139
335690|CONE,INLT,315MM,GALV,1TAP|9XA
335694|CONE,INLT,500MM,GALV,1TAP|9XA
335738|WHL,STL,560X160MM,R63D,7PLTX8BC,RAL6002|9XA
1016274|VFD,CNFG,Z1C1D273C,208V,100HP,273A|9XA
1016279|VFD,CNFG,Z1C1B014C,480V,10HP,14A|9XA
MP8110|SWITCH,OPERATOR,RED MUSHROOM HEAD|NP139
2014150-MV|VCD-33-38x13|60CA
2014155-MV|VCD-43-17.5x53.875|60CA
2013294-MV|VCD-33-62.75x8.75|60CA
326938|MTR,145T,BA 05G784X118G1|9XA
1015956|FLG,1.375,4HOLE,BRASS,MUELLER,A-08625|9XA
1015963|FL,WTR,PLYPR,DELTAPURE,DW-5-01-10-1-D|9XA
2016500-MV|VCD-43-27.875x48|60CB
2016601-MV|20-APH-4-100-I-15|50CB
2016602-MV|20-APH-4-100-I-15|50CB
2016606-MV|ESD-603|61BA
2016607-MV|20-APH-4-100-I-15|50CB
2016608-MV|20-APH-4-100-I-15|50CB
2004646-MV|VCD-43-36.875x87.875|60CA
2004662-MV|24-APM-4-100-II-150|50BG
2004698-MV|VCD-43-13.75x85.75|60CA
2004702-MV|VCD-43-30.875x80.875|60CA
1015887|FL,RACK,HEPA,GEL,24.62X24.62,304 SST|9XA
1016187|ADPTR,SOCKXMNPT,1,CPVC,SCH80,E84|9XA
1016194|TEE,SOCK,1,CPVC,SCH80,E84|9XA
1015938|COMP,ZPM135MCE-TED-276,460V|9XA
1015859|FL,HEPA,GSK,99.97,12X24,GALV|9XA
1015987|FITTING,0.5,STR CONN,NYLON,T&B 2920NM|9XA
1015934|COMP,ZPM125MCE-XE5-276,200/230V|9XA
165943|SHT,22GA,60X96,CSB,PREPNT RAL7023 GRAY|9XA
1015965|TUBE,COIL,0.75OD,UL94,CLR|9XA
MP9410|COVER,FOOT SWITCH|NP139
1000843|INSUL,SEAM-SEAL PIPE7/8INX6FT|9XA
1001318|RELAY,3PDT,15A,24VAC,11 BLADE,PLUGIN|9XA
1002035|COMP,ZPT108K3E-TFE-250,575V|9XA
1016209|CPLG,RDUCR,SOCK,2X1.5,CPVC,SCH80,E84|9XA
2013127-MV|VCD-43-23.875x59.875|60CA
MP18728|VALVE,PROPORTIONAL|NP139
2013174-MV|24-APM-4-100-II-150|50BG
2016081-MV|22-APM-4-85-I-100|50BG
MP22104|RING,RETAINING SB133|NP139
335701|CONE,INLT,400MM,GALV,4TAP|9XA
354411|BSHG,1610 X .875,TAPERLOCK|9XA
2008741-MV|VCD-23-43.875x45.875|60CA
2008744-MV|VCD-43-32x47.875|60CA
335693|CONE,INLT,450MM,GALV,1TAP|9XA
345268|BELT,B53,WRAPPED|9XA
2013286-MV|VCD-33-65.875x8.875|60CA
2013289-MV|VCD-33-62.75x8.75|60CA
INN-CURB|INNOVENT CURB|40BE
2007822-MV|HW12C02H10-22.5X54-RHE|41AA
1008175|BASE,MTR,ADJ,182A2|9XA
1008173|BASE,MTR,ADJ,213A2|9XA
1008174|BASE,MTR,ADJ,184A2|9XA
2000313-MV|ICD-44-79.875x122.875|60BG
2000314-MV|40-APH-4-95-II-250|50CB
1015944|HTR,CMB BLWR WIRG EXT,2FT,HEATCO HMWA44|9XA
1001854|COMP,HRH034U3LP6 (120U1261),208/230V|9XA
472656|CLAMP,STRAP,0.5,0.5,HD GALV,1BAB5|9XA
2016323-MV|VCD-43-52.875x128.875|60CB
335697|CONE,INLT,710MM,GALV,1TAP|9XA
MP3627|PINS,DIE LOCKING|NP139
T2296|STRIPPER,ROUND MULTI TOOL,.125|NP139
MP18904|CUP,SUCTION|NP139
APD-315|APD-315|9XA
1016210|ADPTR,SPIGXMNPT,1.5,CPVC,SCH80,E84|9XA
2013464-MV|22-APH-4-100-I-50|50CB
417367|SCR,MS,PRH,#8-32X2.5,ZP,B18.6.3|9XA
1022016|ENCL,12X12X6,NEMA 3R,4,12,13,STEEL|9XA
2013462-MV|VCD-43-45.875x116.875|60CA
354416|BSHG,2012 X 1.625,TAPERLOCK|9XA
2013103-MV|CW58S02H12-36X85-RHN|41AA
1016000|FL,CLP,3,SS,P-STYLE|9XA
HAZ2857|SEALLANT,3M,320,LIGHT GRAY,20L PAIL|ZHAZ
1016030|CHNL,C,4X2.25X0.19X300,AL,6061|9XA
1015977|ELBOW,SOCK,1.25,UL94 CPVC,SCH80|9XA
2011446-MV|24-APH-4-85-II-100|50CB
2011550-MV|VCD-43-82.688x43.875|60CA
2011686-MV|VCD-23-60x40.875|60CA
2005792-MV|VCD-23-29.75x80.75|60CA
1002008|COMP,ZP295KCE-TEE-251,575V|9XA
1002229|VLV,B348,AF24,BELIMO|9XA
1002314|MTR 75 BXYE BA 254T M7048T|9XA
1015976|ELBOW,SOCK,0.75,UL94 CPVC,SCH80|9XA
2016345-MV|VCD-43-39.875x22.875|60CB
2016335-MV|VCD-43-52.875x128.875|60CB
2016334-MV|VCD-43-59.875x127|60CB
2016333-MV|VCD-43-12.875x127|60CB
2016326-MV|VCD-43-45x28.375|60CB
2016325-MV|VCD-43-25.875x55.875|60CB
2005485-MV|VCD-23-11.875x11.875|60CA
2005482-MV|VCD-43-59.875x37.875|60CA
2005481-MV|VCD-43-25.875x47.875|60CA
2005477-MV|VCD-43-59.063x44.875|60CA
2005475-MV|ICD-44-87.875x17.875|60BG
326918|MTR,215T,BA CUSTOM|9XA
4-YR-LBRPRTHX-WRTY|4 YEAR TOTAL PARTS/LABOR W/ HX WARRANTY|9XA
MP4632|FILTER,AIR BREATHER,3.68IN OD|NP139
T2305|STRIPPER,STATION SQ,.707|NP139
335705|CONE,INLT,630MM,GALV,4TAP|9XA
354413|BSHG,1610 X 1.375,TAPERLOCK|9XA
1016185|ELBOW,SOCK,2,90DEG,CPVC,SCH80,E84|9XA
T2216|PUNCH,QCT 0.5IN,0.250,PREM M4PM STL|NP139
326910|MTR,286T,BA 40E246X203G1|9XA
326915|MTR,182T,BA CUSTOM|9XA
326911|MTR,324T,BA CUSTOM|9XA
326922|MTR,286T,BA,10-0000-0351|9XA
326923|MTR,324T,BA 10H752Y334G6|9XA
2007800-MV|VCD-33-17.875x26.875|60CA
2005798-MV|ICD-45-21.875x86.875|60BG
2013608-MV|ICD-44-40.25x12.25|60BG
2013607-MV|ICD-44-24.625x21.25|60BG
2005859-MV|VCD-23-28.875x26.875|60CA
2005702-MV|VCD-43-112.188x53.875|60CA
2005664-MV|VCD-23-63.75x30.75|60CA
2005609-MV|VCD-23-23.875x29.875|60CA
2005575-MV|VCD-43-17.875x27.5|60CA
476318|COMP,ZPT244KCE-TFD-250,460V|9XA
1006893|EXT,750MM HX UPRIGHT|9XA
2013110-MV|22-APM-4-75-II-150|50BG
2013244-MV|AMD-23-31.75x8.75|60CA
2013245-MV|VCD-23-90.875x15.875|60CA
335711|WHL,STL,500X140MM,R63D,HUB SM20,RAL6002|9XA
1016040|CNDNSRFN,ZA,FN063,ART#183792,208/230V|9XA
326916|MTR,184T.BA,36M524R102G3|9XA
2010480-MV|VCD-43-19.375x48.875|60CA
2010482-MV|24-APM-4-80-I-75|50BG
2010486-MV|VCD-43-31.875x21.875|60CA
2014053-MV|VCD-23-33.875x11.438|60CA
T2218|PUNCH,QCT 0.5IN,0.429,PREM M4PM STL|NP139
1015935|COMP,ZPM125MCE-TED-276,460V|9XA
2000743-MV|LV,1.50,NAR PROF,J BL|61AA
2000761-MV|LV,1.50,NAR PROF,J BL|61AA
1016560|TRANSF,240/480V,120/240V,10KVA,T2535163S|9XA
BH40-A-1650|HEAT EXCH,BH40-A-1650|40AA
384607|VFD,CIMR-ZU2A0059FAA,208/230V,20HP,59.4A|9XA
384616|VFD,CIMR-ZU4A0034FAA,460V,25HP,34A|9XA
1015952|FL,HSG,SS,13.23,.75 IN/OUT,WTR|9XA
1015973|BLKHD,SOCK,1.5,UL94 CPVC,SCH80|9XA
1015983|PIPE,1.25X20FT,UL94 CPVC,SCH80|9XA
1015469|COMP,ZPY708KCE-TE5-276,208/230V|9XA
ADP-355|INCORRECT PARENT - WILL OBSOLETE|9XA
2013014-MV|VCD-23-77.875x65.875|60CA
2013225-MV|EM-30-56.625X49.625|60BA
2013224-MV|VCD-43-35.438x47.875|60CA
1015913|CTE,EXPORT,DOMESTIC KD,96X71X41|9XA
1016230|NUT LOCK,.75,COND,TB LN502|9XA
1015883|FL,RACK,HEPA,GSK,12.62X24.62,304 SST|9XA
2013080-MV|QEI-12-300-50-G|50GA
MP20632|CYLINDER,PNEU,PLATE LINE CARRIAGE|NP139
2016042-MV|27-APM-4-100-II-150|50BG
MP16930|ENCLOSURE,PUSHBUTTON,ONE HOLE|NP139
MP20163|CHAIN,CABLE|NP139
2013130-MV|VCD-23-10.75x74.75|60CA
2011854-MV|6IN EXTRUDED ALUMINUM LOUVER|61BA
2011855-MV|VCD-33-8x56.75|60CA
2011857-MV|EM-30-47.625X29.625|60BA
2011921-MV|VCD-33-12.75x85.75|60CA
2011922-MV|24-APM-4-100-II-150|50BG
1036572|VLV,RELIEF,0.5X0.625,MUELLER A15504-675P|9XA
1036577|HT EX,CNDNSER,HSE5MP,19LB|9XA
1016001|HT EX,EXC-750-750-380-OE-O|9XA
2003295-MV|LV,1.50,NAR PROF,J BL|61AA
2013660-MV|ICD-44-100.375x65.875|60BG
2013639-MV|ICD-44-39.438x65.875|60BG
2013638-MV|VCD-43-137.875x39.875|60CA
2013637-MV|VCD-43-59.875x63.875|60CA
2013635-MV|ICD-44-100.375x65.875|60BG
2004632-MV|CW12C06H08-22.5X22-RHN|41AA
MP4882|ASM,PUMP,MOTOR|NP139
2004461-MV|VCD-23-45.875x49.875|60CA
1000430|FORWARD CURVED 10-8|9XA
1000463|AF 28-28|9XA
1010155|SHFT,HTWHL,TA-96-138,RS,L230-50-M20|9XA
326932|MTR,182T,BA 36M526S532G2|9XA
326931|MTR,145T,BA,35Z069N517G1|9XA
2013606-MV|ICD-44-24.625x21.25|60BG
2013661-MV|ICD-44-136.75x16.75|60BG
1015957|VLV,COMP KIT,1.625,BRASS,MUELLER,A-17534|9XA
1015971|ACT,HSG,WEATHER SHIELD,ZS-CCV-90|9XA
1015982|PIPE,0.75X10FT,UL94 CPVC,SCH80|9XA
1015860|FL,HEPA,GSK,99.97,24X24,304 SST|9XA
1015877|FL,HEPA,GEL,99.999,12X24,304 SST|9XA
1015879|FL,RACK,HEPA,GSK,24.62X12.62,GALV|9XA
T2220|PUNCH,QCT 0.5IN,0.200X0.500|NP139
T2302|STRIPPER,ROUND MULTI TOOL,.250|NP139
2012080-MV|15-APM-4-50-II-30|50BG
1016032|SW,PRES,HIGH,WILSPEC,HM200-260-0021|9XA
1015914|CTE,EXPORT,2IN DECKING,96X71X41|9XA
MP7557|PASTE,DX,MOLYKOTE FROM DOW CORNING|NP139
MP11715|ACTUATOR,STD|NP139
MP6398|CABLE,PIN AND SOCKET,M12BW-M12SG 2,0M|NP139
2014158-MV|22-APM-4-100-II-150|50BG
1016102|COMP,SCREW,CSVH24-125Y-4AU,460V/3/60|9XA
1002402|CAREL,PCO3CONOLO-PCO3 SCREW CONNECTOR|9XA
1002285|MTR 400 MWXYD BA 286TS EM2538T|9XA
1016104|COMP,SCREW,CSVH26-200Y-4AU,460V/3/60|9XA
1002503|CNTRL,DISPLAY,CAREL PCOX002DB0|9XA
1015975|ELBOW,SPIGXSOCK,1.5,UL94 CPVC,SCH80|9XA
2013067-MV|VCD-43-75.875x13.875|60CA
2013068-MV|VCD-43-29x35.875|60CA
1016153|CNDNSRFN,ZA,FN071,ART#155697,208/230V|9XA
1016172|CNDNSRFN,ZA,FN125,ART#167499,460V|9XA
1007714|ISOL,SPR,T2B-190,COATED,2IN,INNER|9XA
386432|PLUG,COMP,WPFT,8AWG 144|9XA
MP6195|SWITCH,PROXIMITY|NP139
1001855|COMP,HRH036U3LP6 (120U1266),208/230V|9XA
1002195|VLV,RELIEF,MUELLER,AJ15504|9XA
1002251|VLV,BALL,1.125,MUELLER AQ17865|9XA
465469|CPLG,RDUCR,CXC,1.375ODX1.125OD,CPR|9XA
1016041|CNDNSRFN,ZA,FN063,ART#154897,208/230V|9XA
1015972|BLKHD,FNPT,0.75,UL94 CPVC,SCH80|9XA
MP20144|BASE,DIE,STATION,IMT8AUI|NP139
MP13025|PUSHER,ROD END,SHEET|NP139
1030982|VLV,HGRH,MTW-21-17,ODF-20-S|9XA
2004633-MV|CW12C06F08-25X26-RHN|41AA
2016545-MV|VCD-43-59x47.875|60CB
1042315|SMP, EXT OUTLET PART38|9XA
2015345-MV|24-APH-4-85-II-200|50CB
2015417-MV|ESD-603|61BA
1007634|EXT,300MM HX UPRIGHT|9XA
1016203|CAP,SLIP,2,CPVC,SCH80,E84|9XA
2014787-MV|24-APM-4-100-II-150|50BG
1002833|FUSE,20A,600V,CLASS CC,FAST ACT,ATMR20|9XA
1003157|PIPE,1 1/4,SCH40,AL,6061-T6|9XA
2014785-MV|VCD-23-76.813x42.875|60CA
MP21382|COUPLER,ETHERCAT EK1100|NP139
2006152-MV|VCD-23-103.875x28.875|60CA
1008575|COMP,ZR300KC-TED-965,460V|9XA
1015948|TEK SCR,PFH,.25-14X4,SS,410,EPOXY,#3|9XA
1007641|VLV,BALL,2,MBA485BK|9XA
1009581|UNION,FNPT,0.75,304SS|9XA
1009627|UNION,SWT,2.5,LF CAST CPR|9XA
2005710-MV|VCD-23-23.875x29.875|60CA
1010138|SEAL,HTWHL,RS,B23,PER,FT|9XA
2003652-MV|VCD-43-52.875x9.875|60CA
2003214-MV|VCD-43-92.875x53.875|60CA
2002677-MV|VCD-43-9.875x26.875|60CA
16-CFDW|CENTRIFUGAL FAN|50BA
30-CFDW|CENTRIFUGAL FAN|50BA
1010156|SHFT,HTWHL,TA-138,RS,L304-70-M20|9XA
1010150|SHFT,HTWHL,TAC-138-156-20,RS,L310-70-M20|9XA
MP20211|SWITCH,PRESSURE|NP139
2013226-MV|VCD-23-17.875x46.875|60CA
2013237-MV|VCD-23-27.875x43.875|60CA
1015961|MEDIA,NORTEC,GLASSFIBRE,8X2X12,DSTRPAD|9XA
1015984|ADPTR,MNPTXBARBT,0.625X0.75,BRASS|9XA
326939|MTR,182T,BA 06G729X177G1|9XA
326907|MTR,254T,BA 39E366X973G1|9XA
2006129-MV|VCD-23-83.875x49.875|60CA
2013149-MV|VCD-23-16.875x86.875|60CA
2013248-MV|VCD-43-58.875x52.875|60CA
1015989|WIRE,THHN,12GA,90DEG,600V,BROWN|9XA
1032904|BRKT,AIR PROBE,AL|9XA
326929|MTR,56, BA 35E2520N602G1|9XA
474101|COMP,ZPD137KCE-TFD-455,460V|9XA
1015869|FL,HEPA,GSK,99.999,12X24,304 SST|9XA
15-CFDW|CENTRIFUGAL FAN|50BA
15-QEM|15-QEM|50BG
382355|CNTRL,SNSR,TEMP&HMTY,WL,CAREL,DPWC111000|9XA
1015941|FL,CLP,5-38,SS,P-STYLE|9XA
326941|MTR,213T,BA 07L783Y902G1|9XA
326942|MTR,215T,BA 07L783Y278G1|9XA
1015947|HTR,MA VLV WIRG EXT,2FT,HEATCO,HMWA141|9XA
471449|CPLG,SOCK,0.5,PVC,SCH40|9XA
1015464|COMP,ZPY462KCE-TED-273,460V|9XA
2008079-MV|VCD-23-59.063x43.875|60CA
326945|MTR,256T,BA 09-0000-2575|9XA
1015863|FL,HEPA,GSK,99.99,12X24,GALV|9XA
1015909|TRNSMTR,TEMP/HMDTY,DUCT,BA/10K2H210OBB2|9XA
1015960|MEDIA,NORTEC,GLASSFIBRE,8X12X72|9XA
1015969|VLV,FLOAT,0.75,AQUASUPER,IE100-0.75|9XA
1015939|COMP,ZPM135MCE-TEE-276,575V|9XA
1032900|BRKT,COND COIL LIFT,GALV|9XA
1032898|BRKT,HEAT WHEEL ROTATION SNSR,AL|9XA
1015936|COMP,ZPM125MCE-TEE-276,575V|9XA
321534|MTR,143T,BA 05G236W060G1|9XA
2013532-MV|VCD-23-70.875x47.875|60CA
2013309-MV|VCD-43-36x27.875|60CA
MP16808|MODULE,SERVO FEED,45KW,ECO|NP139
2001166-MV|VCD-23-28.875x53.875|60CA
2001170-MV|VCD-23-20.375x58.875|60CA
326904|MTR,145T,BA CUSTOM|9XA
1015923|COMP,ZPD54K5E-PFV-130,208/230V|9XA
2015010-MV|VCD-43-45.075x17.65|60CA
2013293-MV|VCD-33-65.875x8.875|60CA
326934|MTR.215T,BA 37J839Y120G1|9XA
472379|COMP,ZPD120KCE-TFD-455,460V|9XA
1003358|TAPE,ELEC,.75X66FT,7MIL,BLK|9XA
1003390|COVER,BOX ADPTR,1G,HORIZ,PVC|9XA
1002906|HTR,75 W 110-240 V ,RITTAL 3107.150|9XA
2014131-MV|ICD-44-33.875x116.875|60BG
2005886-MV|VCD-23-57.875x24.875|60CA
2005901-MV|VCD-23-17.75x32.875|60CA
